,Age,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
20,24,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3
21,36,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3
22,34,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11
23,21,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0
24,34,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3
25,53,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8
26,32,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7
27,42,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2
28,44,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17
29,46,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1
30,33,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0
31,44,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3
32,30,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8
33,39,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0
34,24,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0
35,43,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4
36,50,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2
37,35,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2
38,36,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0
39,33,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3
40,35,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0
41,27,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0
42,26,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1
43,27,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7
44,30,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7
45,41,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8
46,34,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7
47,37,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0
48,46,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8
49,35,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1
50,48,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0
51,28,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2
52,44,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3
53,35,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3
54,26,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0
55,33,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12
56,35,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8
57,35,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2
58,31,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7
59,37,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7
60,32,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8
61,38,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9
62,50,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8
63,59,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9
64,36,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8
65,55,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2
66,36,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3
67,45,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0
68,35,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2
69,36,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0
70,59,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3
71,29,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4
72,31,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0
73,32,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9
74,36,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0
75,31,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8
76,35,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8
77,45,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0
78,37,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2
79,46,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2
80,30,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0
81,35,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4
82,55,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0
83,38,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9
84,34,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3
85,56,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2
86,23,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0
87,51,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3
88,30,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8
89,46,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7
90,40,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11
91,51,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0
92,30,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7
93,46,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5
94,32,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7
95,54,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3
96,24,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2
97,28,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4
98,58,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8
99,44,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2
100,37,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2
101,32,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,13,3,4,0,1,2,3,1,0,0,0
102,20,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0
103,34,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10
104,37,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,14,3,4,1,17,2,4,1,0,0,0
105,59,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,21922,9,21,4,4,1,30,3,3,3,2,2,2
106,50,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,19,3,1,0,28,1,2,8,3,0,7
107,25,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,11,3,4,0,6,1,3,6,4,0,3
108,25,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,11,3,3,2,2,2,3,2,2,2,1
109,22,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,15,3,3,0,1,5,3,0,0,0,0
110,51,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,20,4,3,0,23,1,2,13,12,12,8
111,34,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,24,4,4,0,9,3,3,9,7,0,6
112,54,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,13871,2,12,3,3,0,23,3,3,5,3,4,4
113,24,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,12,3,3,1,6,2,3,5,3,1,2
114,34,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,15000,6,15,3,3,1,12,3,3,1,0,0,0
115,37,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,12,3,1,0,12,3,3,5,3,1,3
116,34,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,5615,2,12,3,4,0,14,6,3,11,10,5,8
117,36,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,14,3,3,1,10,6,3,9,7,2,8
118,36,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,22,4,1,1,7,2,3,1,0,0,0
119,43,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,19494,1,12,3,4,2,25,3,4,25,12,4,12
120,30,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,25,4,3,3,10,2,2,10,7,0,9
121,33,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,13,3,1,1,8,2,4,7,7,0,7
122,56,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,18,3,1,3,7,2,3,5,4,4,3
123,51,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,13,3,3,0,23,5,3,20,18,15,15
124,31,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,18,3,2,0,12,3,2,7,7,7,7
125,26,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,19,3,3,0,5,3,2,5,4,4,3
126,58,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,12,3,4,1,40,3,2,40,10,15,6
127,19,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,19,3,4,0,0,2,2,0,0,0,0
128,22,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,14,3,3,1,3,2,3,2,1,2,1
129,49,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,14,3,3,0,16,2,2,15,11,5,11
130,43,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,12,3,4,0,18,2,3,3,2,1,2
131,50,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,11,3,4,0,16,3,3,2,2,2,1
132,31,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,11,3,3,1,4,2,3,2,2,2,2
133,41,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,13,3,3,1,12,2,3,9,7,0,7
134,26,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,23,4,4,1,8,3,3,8,7,5,7
135,36,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,20,4,4,2,7,0,3,3,2,0,1
136,51,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,15,3,4,0,18,2,3,4,2,0,3
137,39,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,14,3,3,1,17,1,4,15,11,5,9
138,25,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,18,3,4,0,6,3,3,2,2,2,2
139,30,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,19,3,4,0,12,2,1,11,9,4,7
140,32,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,22,4,1,0,10,2,4,5,4,0,4
141,45,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,13,3,2,0,9,2,2,6,5,0,3
142,38,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,20,4,2,0,19,2,3,3,2,2,2
143,30,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,14,3,3,0,5,4,2,5,4,0,4
144,32,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,17,3,4,3,9,2,4,8,7,0,7
145,30,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,14,3,4,1,8,3,3,3,2,2,2
146,30,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,2720,11162,0,13,3,4,0,6,3,3,5,3,1,2
147,41,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,13,3,2,1,21,2,2,7,6,7,7
148,41,Research & Development,9,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2238,6961,2,21,4,4,1,7,2,3,5,0,1,4
149,19,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,14,3,4,0,1,3,3,1,0,0,0
150,40,Research & Development,26,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1,11,3,1,1,20,2,3,20,7,2,13
151,35,Sales,1,5,Marketing,3,Male,94,3,3,Sales Executive,2,Married,7295,11439,1,13,3,1,2,10,3,3,10,8,0,6
152,53,Sales,6,2,Marketing,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,20,4,4,1,13,3,1,7,7,4,5
153,45,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,18,3,3,1,20,2,1,17,9,0,15
154,32,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,14,3,4,0,9,2,3,9,8,3,7
155,29,Research & Development,1,1,Technical Degree,4,Male,41,3,2,Manufacturing Director,3,Married,4319,26283,1,13,3,1,1,10,1,3,10,7,0,9
156,51,Research & Development,7,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,6132,13983,2,17,3,3,0,10,2,3,1,0,0,0
157,58,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,20,4,2,1,9,3,2,1,0,0,0
158,40,Sales,4,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,11,3,1,1,15,2,2,12,11,2,11
159,34,Sales,2,4,Marketing,3,Female,75,3,1,Sales Representative,3,Married,2231,11314,6,18,3,4,1,6,3,3,4,3,1,2
160,22,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1,24,4,1,2,2,6,3,2,2,2,2
161,27,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,2024,5970,6,18,3,4,1,6,1,1,2,2,2,2
162,28,Research & Development,21,3,Medical,3,Male,42,3,1,Research Scientist,4,Married,2713,6672,1,11,3,3,1,5,2,1,5,2,0,2
163,57,Research & Development,24,2,Life Sciences,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,23402,3,16,3,2,1,12,2,1,5,3,1,4
164,27,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,2566,25326,1,15,3,4,1,1,2,2,1,1,0,1
165,50,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,19926,17053,3,15,3,2,0,21,5,3,5,4,4,4
166,41,Research & Development,14,3,Life Sciences,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4609,4,12,3,1,1,13,2,3,9,8,1,8
167,30,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,9419,8053,2,12,3,3,1,12,2,3,10,9,7,4
168,38,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,22,4,3,0,12,2,4,8,3,0,7
169,32,Research & Development,6,5,Life Sciences,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,20,4,1,0,8,2,3,5,4,1,4
170,27,Research & Development,17,3,Technical Degree,3,Male,51,3,1,Research Scientist,2,Married,3058,13364,0,16,3,4,1,6,3,2,5,2,1,1
171,19,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,21,4,1,0,1,5,4,0,0,0,0
172,36,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,12,3,3,0,13,3,2,8,7,7,2
173,30,Research & Development,9,3,Medical,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,11,3,3,2,12,4,3,12,9,6,10
174,45,Sales,4,2,Life Sciences,3,Female,30,3,2,Sales Executive,1,Divorced,5006,6319,4,11,3,1,1,9,3,4,5,4,0,3
175,56,Research & Development,8,3,Life Sciences,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,18,3,3,1,19,3,3,2,2,2,2
176,33,Research & Development,2,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,14,3,1,0,4,2,4,3,1,0,2
177,19,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,22,4,3,0,1,3,2,1,0,1,0
178,46,Sales,1,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,25,4,3,3,24,2,3,24,13,15,7
179,38,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,12,3,3,0,2,3,3,2,2,2,1
180,31,Research & Development,12,1,Medical,3,Female,95,3,1,Research Scientist,4,Married,3929,6984,8,23,4,3,1,7,0,3,4,2,0,2
181,34,Research & Development,27,2,Medical,4,Female,95,3,1,Research Scientist,2,Single,2311,5711,2,15,3,4,0,9,3,3,3,2,1,2
182,41,Sales,20,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,22,4,4,0,4,5,2,4,3,0,2
183,50,Research & Development,1,3,Medical,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3425,2,15,3,4,1,5,2,2,3,2,0,2
184,53,Research & Development,13,2,Medical,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,26250,1,11,3,3,2,5,3,3,4,2,1,3
